subset,n_samples,mae,rmse,nrmse_std,r2
overall,28540,8.923422848829773,13.290132591922049,0.26303986893789416,0.9308100273491354
no_intervention,244,4.354384517452333,5.907265016712752,0.17347706275522978,0.9699057086978181
nutrition_only,288,6.882004781958727,9.462670579210045,0.640310606921402,0.5900023266639458
insulin_only,6717,11.785176114475513,17.611032864830666,0.28165428617034055,0.9206708630818758
both_nutrition_and_insulin,21291,8.100557650895082,11.717764925699516,0.2538957902636827,0.9355369276863801
enteral,21579,8.084294467881335,11.690532209947328,0.2543090909812207,0.9353268862443053
iv_insulin,19713,8.59081760614963,12.913259211031978,0.2845194209563941,0.9190486990986382
subq_insulin,14175,10.48189454308838,15.560520587079875,0.2733087356967245,0.925302334991858
basal_insulin,11262,9.170710369043384,13.815154915334178,0.24012166222342488,0.9423415873310594
nph_insulin,1097,10.432334958753973,14.08981703708239,0.20004804333275752,0.9599807803587351
steroid_yes,16535,8.041550144170936,12.455105946229262,0.2583193033711682,0.9332711375058343
steroid_no,12005,10.13806384604209,14.360977836341998,0.27025933025857757,0.926959894408185
vasopressor_yes,14174,7.88013746779012,11.693157333880773,0.24935571952438623,0.9378217251404756
vasopressor_no,14366,9.952764836220558,14.696669415117901,0.2758023597533601,0.9239330583544781
reduced_renal_function_egfr_lt_60,20392,9.198328110288431,13.629301601686493,0.2709929467809611,0.9265628227949712
high_creatinine_ge_2,10764,8.416569771167635,13.267767438034657,0.27569768328353284,0.9239907874320928
dialysis,10735,9.861600318173762,14.758967410243638,0.3123170257704108,0.9024580754139245
hypoglycemia_lt_70,104,25.80147172934388,30.386256491010645,3.6164472005487864,-12.078690354357153
in_range_70_180,16833,7.938036606188858,11.494642205119767,0.48788484863382464,0.76196837447355
hyperglycemia_gt_180,11603,10.201686189241826,15.313203520330259,0.39419698029706035,0.844608740724679
high_variability,7135,12.552435448200807,17.7896320599174,0.298845852640134,0.9106911563597914
rapid_rise,97,24.658625204403226,32.82132518520788,0.41694539807310876,0.8261565350256569
rapid_fall,56,34.04205024153587,45.46533921178952,0.561797549778427,0.6843835130629559
